time,poa_global,poa_direct,poa_diffuse,temp_air,wind_speed
2020-01-01 00:06:00,0.0,0.0,0.0,24.41,1.38
2020-01-01 01:06:00,0.0,0.0,0.0,24.27,1.38
2020-01-01 02:06:00,0.0,0.0,0.0,24.02,1.31
2020-01-01 03:06:00,0.0,0.0,0.0,23.77,0.9
2020-01-01 04:06:00,0.0,0.0,0.0,23.35,0.55
2020-01-01 05:06:00,0.0,0.0,0.0,23.02,1.24
2020-01-01 06:06:00,83.68,47.12,36.56,22.96,0.97
2020-01-01 07:06:00,374.77,222.22,152.54999999999998,23.54,1.38
2020-01-01 08:06:00,648.19,443.27,204.91,25.58,1.17
2020-01-01 09:06:00,826.3,573.67,252.63,28.48,1.31
2020-01-01 10:06:00,957.93,680.36,277.58000000000004,31.01,1.52
2020-01-01 11:06:00,1034.36,754.49,279.87,32.86,1.59
2020-01-01 12:06:00,1024.98,738.46,286.52,34.23,1.66
2020-01-01 13:06:00,951.08,673.69,277.39,35.13,1.59
2020-01-01 14:06:00,786.01,513.19,272.81,35.58,1.38
2020-01-01 15:06:00,578.71,349.35,229.36,35.49,1.24
2020-01-01 16:06:00,334.74,186.14,148.6,34.54,1.1
2020-01-01 17:06:00,66.63,39.69,26.94,32.55,1.17
2020-01-01 18:06:00,0.0,0.0,0.0,30.15,1.38
2020-01-01 19:06:00,0.0,0.0,0.0,28.05,1.1
2020-01-01 20:06:00,0.0,0.0,0.0,26.17,0.97
2020-01-01 21:06:00,0.0,0.0,0.0,25.36,1.31
2020-01-01 22:06:00,0.0,0.0,0.0,24.27,1.59
2020-01-01 23:06:00,0.0,0.0,0.0,23.69,1.38
2020-01-02 00:06:00,0.0,0.0,0.0,23.12,1.1
2020-01-02 01:06:00,0.0,0.0,0.0,23.09,0.34
2020-01-02 02:06:00,0.0,0.0,0.0,22.3,0.48
2020-01-02 03:06:00,0.0,0.0,0.0,21.37,1.03
2020-01-02 04:06:00,0.0,0.0,0.0,20.9,1.38
2020-01-02 05:06:00,0.0,0.0,0.0,20.29,1.38
2020-01-02 06:06:00,87.79,51.63,36.160000000000004,20.16,1.52
2020-01-02 07:06:00,375.76,223.93,151.82,21.81,1.38
2020-01-02 08:06:00,614.71,390.84,223.85999999999999,25.51,2.55
2020-01-02 09:06:00,793.04,513.22,279.82,27.49,3.24
2020-01-02 10:06:00,941.42,643.91,297.51,29.67,3.1
2020-01-02 11:06:00,1010.86,702.26,308.6,31.62,3.03
2020-01-02 12:06:00,1008.85,700.32,308.53,33.04,2.97
2020-01-02 13:06:00,942.24,652.5,289.74,33.93,2.83
2020-01-02 14:06:00,795.81,526.27,269.55,34.29,2.69
2020-01-02 15:06:00,596.61,373.2,223.41,34.15,2.48
2020-01-02 16:06:00,305.18,155.12,150.06,33.41,2.21
